APT,VFR,IFR,WMAX,START,END,MAXLENGTH,NUM_SITTING,NUM_AIR,DISC,CASE,AIRCOST,LOOKAHEAD,NUM_TIME_PERIODS,EARLY_CHANGE,LATE_CHANGE,PROB_ALT,DIVERT_FACTOR,SOLVETIME,OBJECTIVE
ATL,126,104,0,2017-07-15T17:00-04:00,2017-07-16T00:00-04:00,4,127,129,15,5,3.0,0,28,8,16,false,1000.0,4.235363095,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T00:00-04:00,4,127,129,15,6,3.0,2,28,8,16,false,1000.0,3.8859334,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T01:00-04:00,5,128,129,15,1,3.0,0,32,8,20,false,1000.0,9.712947002,4.0
ATL,126,104,-1,2017-07-15T17:00-04:00,2017-07-16T01:00-04:00,5,128,129,15,2,3.0,0,32,8,20,false,1000.0,10.627240999,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T01:00-04:00,5,128,129,15,3,2.0,0,32,8,20,false,1000.0,10.419603534,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T01:00-04:00,5,128,129,15,4,3.0,0,32,8,20,true,1000.0,10.59650421,4.000000000000002
ATL,126,104,0,2017-07-15T17:00-04:00,2017-07-16T01:00-04:00,5,128,129,15,5,3.0,0,32,8,20,false,1000.0,17.790038209,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T01:00-04:00,5,128,129,15,6,3.0,2,32,8,20,false,1000.0,10.11212332,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T02:00-04:00,6,128,129,15,1,3.0,0,36,8,24,false,1000.0,24.658305217,4.0
ATL,126,104,-1,2017-07-15T17:00-04:00,2017-07-16T02:00-04:00,6,128,129,15,2,3.0,0,36,8,24,false,1000.0,24.207823922,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T02:00-04:00,6,128,129,15,3,2.0,0,36,8,24,false,1000.0,25.140193958,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T02:00-04:00,6,128,129,15,4,3.0,0,36,8,24,true,1000.0,24.891270219,3.999999999999998
ATL,126,104,0,2017-07-15T17:00-04:00,2017-07-16T02:00-04:00,6,128,129,15,5,3.0,0,36,8,24,false,1000.0,30.697154225,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T02:00-04:00,6,128,129,15,6,3.0,2,36,8,24,false,1000.0,26.851439079,4.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,94,54,15,1,3.0,0,20,8,8,false,1000.0,1.5038E-4,0.0
DFW,159,85,-1,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,94,54,15,2,3.0,0,20,8,8,false,1000.0,9.9669E-5,0.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,94,54,15,3,2.0,0,20,8,8,false,1000.0,1.24074E-4,0.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,94,54,15,4,3.0,0,20,8,8,true,1000.0,1.17454E-4,0.0
DFW,159,85,0,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,94,54,15,5,3.0,0,20,8,8,false,1000.0,1.66666E-4,0.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,94,54,15,6,3.0,2,20,8,8,false,1000.0,9.4597E-5,0.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T13:00-05:00,3,109,54,15,1,3.0,0,24,8,12,false,1000.0,3.200317204,2.0
DFW,159,85,-1,2017-07-15T07:00-05:00,2017-07-15T13:00-05:00,3,109,54,15,2,3.0,0,24,8,12,false,1000.0,4.044108647,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T13:00-05:00,3,109,54,15,3,2.0,0,24,8,12,false,1000.0,2.807406612,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T13:00-05:00,3,109,54,15,4,3.0,0,24,8,12,true,1000.0,4.358405039,0.8
DFW,159,85,0,2017-07-15T07:00-05:00,2017-07-15T13:00-05:00,3,109,54,15,5,3.0,0,24,8,12,false,1000.0,4.181401788,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T13:00-05:00,3,109,54,15,6,3.0,2,24,8,12,false,1000.0,2.615021825,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T14:00-05:00,4,150,54,15,1,3.0,0,28,8,16,false,1000.0,6.206972086,2.0
DFW,159,85,-1,2017-07-15T07:00-05:00,2017-07-15T14:00-05:00,4,150,54,15,2,3.0,0,28,8,16,false,1000.0,6.748512048,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T14:00-05:00,4,150,54,15,3,2.0,0,28,8,16,false,1000.0,6.294005837,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T14:00-05:00,4,150,54,15,4,3.0,0,28,8,16,true,1000.0,5.428191495,1.9999999999999993
DFW,159,85,0,2017-07-15T07:00-05:00,2017-07-15T14:00-05:00,4,150,54,15,5,3.0,0,28,8,16,false,1000.0,5.382403771,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T14:00-05:00,4,150,54,15,6,3.0,2,28,8,16,false,1000.0,5.330444815,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T15:00-05:00,5,161,54,15,1,3.0,0,32,8,20,false,1000.0,14.813257293,2.0
DFW,159,85,-1,2017-07-15T07:00-05:00,2017-07-15T15:00-05:00,5,161,54,15,2,3.0,0,32,8,20,false,1000.0,13.797045414,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T15:00-05:00,5,161,54,15,3,2.0,0,32,8,20,false,1000.0,16.246862617,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T15:00-05:00,5,161,54,15,4,3.0,0,32,8,20,true,1000.0,13.921043296,1.9999999999999996
DFW,159,85,0,2017-07-15T07:00-05:00,2017-07-15T15:00-05:00,5,161,54,15,5,3.0,0,32,8,20,false,1000.0,13.302377084,1.9999999999999991
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T15:00-05:00,5,161,54,15,6,3.0,2,32,8,20,false,1000.0,13.099202835,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T16:00-05:00,6,200,54,15,1,3.0,0,36,8,24,false,1000.0,29.753101636,2.0
DFW,159,85,-1,2017-07-15T07:00-05:00,2017-07-15T16:00-05:00,6,200,54,15,2,3.0,0,36,8,24,false,1000.0,27.998278586,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T16:00-05:00,6,200,54,15,3,2.0,0,36,8,24,false,1000.0,30.687424012,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T16:00-05:00,6,200,54,15,4,3.0,0,36,8,24,true,1000.0,31.166463063,2.000000000000001
DFW,159,85,0,2017-07-15T07:00-05:00,2017-07-15T16:00-05:00,6,200,54,15,5,3.0,0,36,8,24,false,1000.0,29.044132175,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T16:00-05:00,6,200,54,15,6,3.0,2,36,8,24,false,1000.0,28.910416025,2.0
DFW,159,85,74,2017-07-15T17:00-05:00,2017-07-15T22:00-05:00,2,63,90,15,1,3.0,0,20,8,8,false,1000.0,2.60682E-4,0.0
DFW,159,85,-1,2017-07-15T17:00-05:00,2017-07-15T22:00-05:00,2,63,90,15,2,3.0,0,20,8,8,false,1000.0,8.9639E-5,0.0
DFW,159,85,74,2017-07-15T17:00-05:00,2017-07-15T22:00-05:00,2,63,90,15,3,2.0,0,20,8,8,false,1000.0,1.26621E-4,0.0
DFW,159,85,74,2017-07-15T17:00-05:00,2017-07-15T22:00-05:00,2,63,90,15,4,3.0,0,20,8,8,true,1000.0,7.7417E-5,0.0
