APT,VFR,IFR,WMAX,START,END,MAXLENGTH,NUM_SITTING,NUM_AIR,DISC,CASE,AIRCOST,LOOKAHEAD,NUM_TIME_PERIODS,EARLY_CHANGE,LATE_CHANGE,PROB_ALT,DIVERT_FACTOR,SOLVETIME,OBJECTIVE
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T01:00-04:00,5,128,129,15,4,3.0,0,32,8,20,true,1000.0,16.761003318,4.000000000000001
ATL,126,104,0,2017-07-15T17:00-04:00,2017-07-16T01:00-04:00,5,128,129,15,5,3.0,0,32,8,20,false,1000.0,11.666735304,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T01:00-04:00,5,128,129,15,6,3.0,2,32,8,20,false,1000.0,15.848026541,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T02:00-04:00,6,128,129,15,1,3.0,0,36,8,24,false,1000.0,27.614705268,4.0
ATL,126,104,-1,2017-07-15T17:00-04:00,2017-07-16T02:00-04:00,6,128,129,15,2,3.0,0,36,8,24,false,1000.0,27.581124671,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T02:00-04:00,6,128,129,15,3,2.0,0,36,8,24,false,1000.0,27.584610321,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T02:00-04:00,6,128,129,15,4,3.0,0,36,8,24,true,1000.0,27.683927541,3.999999999999999
ATL,126,104,0,2017-07-15T17:00-04:00,2017-07-16T02:00-04:00,6,128,129,15,5,3.0,0,36,8,24,false,1000.0,27.334184741,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T02:00-04:00,6,128,129,15,6,3.0,2,36,8,24,false,1000.0,26.796484643,4.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,94,54,15,1,3.0,0,20,8,8,false,1000.0,8.07992E-4,0.0
DFW,159,85,-1,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,94,54,15,2,3.0,0,20,8,8,false,1000.0,7.25028E-4,0.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,94,54,15,3,2.0,0,20,8,8,false,1000.0,6.68238E-4,0.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,94,54,15,4,3.0,0,20,8,8,true,1000.0,7.15745E-4,0.0
DFW,159,85,0,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,94,54,15,5,3.0,0,20,8,8,false,1000.0,7.18091E-4,0.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,94,54,15,6,3.0,2,20,8,8,false,1000.0,7.35936E-4,0.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T13:00-05:00,3,109,54,15,1,3.0,0,24,8,12,false,1000.0,1.537616118,2.0
DFW,159,85,-1,2017-07-15T07:00-05:00,2017-07-15T13:00-05:00,3,109,54,15,2,3.0,0,24,8,12,false,1000.0,1.595667464,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T13:00-05:00,3,109,54,15,3,2.0,0,24,8,12,false,1000.0,1.459125356,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T13:00-05:00,3,109,54,15,4,3.0,0,24,8,12,true,1000.0,1.64003725,0.7999999999999999
DFW,159,85,0,2017-07-15T07:00-05:00,2017-07-15T13:00-05:00,3,109,54,15,5,3.0,0,24,8,12,false,1000.0,1.633903672,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T13:00-05:00,3,109,54,15,6,3.0,2,24,8,12,false,1000.0,1.620546745,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T14:00-05:00,4,150,54,15,1,3.0,0,28,8,16,false,1000.0,5.427960736,2.0
DFW,159,85,-1,2017-07-15T07:00-05:00,2017-07-15T14:00-05:00,4,150,54,15,2,3.0,0,28,8,16,false,1000.0,5.261272046,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T14:00-05:00,4,150,54,15,3,2.0,0,28,8,16,false,1000.0,5.417016026,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T14:00-05:00,4,150,54,15,4,3.0,0,28,8,16,true,1000.0,5.388459914,2.0
DFW,159,85,0,2017-07-15T07:00-05:00,2017-07-15T14:00-05:00,4,150,54,15,5,3.0,0,28,8,16,false,1000.0,5.273093854,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T14:00-05:00,4,150,54,15,6,3.0,2,28,8,16,false,1000.0,5.073194843,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T15:00-05:00,5,161,54,15,1,3.0,0,32,8,20,false,1000.0,14.533188339,2.0
DFW,159,85,-1,2017-07-15T07:00-05:00,2017-07-15T15:00-05:00,5,161,54,15,2,3.0,0,32,8,20,false,1000.0,14.209887654,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T15:00-05:00,5,161,54,15,3,2.0,0,32,8,20,false,1000.0,14.571794739,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T15:00-05:00,5,161,54,15,4,3.0,0,32,8,20,true,1000.0,14.426496686,1.9999999999999996
DFW,159,85,0,2017-07-15T07:00-05:00,2017-07-15T15:00-05:00,5,161,54,15,5,3.0,0,32,8,20,false,1000.0,14.262177505,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T15:00-05:00,5,161,54,15,6,3.0,2,32,8,20,false,1000.0,13.689254211,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T16:00-05:00,6,200,54,15,1,3.0,0,36,8,24,false,1000.0,34.259960063,2.0
DFW,159,85,-1,2017-07-15T07:00-05:00,2017-07-15T16:00-05:00,6,200,54,15,2,3.0,0,36,8,24,false,1000.0,33.741434026,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T16:00-05:00,6,200,54,15,3,2.0,0,36,8,24,false,1000.0,34.167959618,2.0
